,n_lags,quantiles,n_changepoints,n_forecasts,learning_rate,ar_layers,ar_reg,changepoints_range,trend_reg,seasonality_mode,rmse
37,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.0,additive,0.8992570281028748
38,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,multiplicative,1.7142795085906983
39,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.05,additive,1.1708857774734498
40,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,multiplicative,1.6523384690284728
41,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.0,0.05,0.1,additive,1.581469428539276
42,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,multiplicative,1.1900251030921936
43,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.0,additive,1.089301347732544
44,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,multiplicative,2.205752205848694
45,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.05,additive,1.5915025115013122
46,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,multiplicative,2.1456954717636108
47,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",0.5,0.05,0.1,additive,1.2915069580078125
48,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,multiplicative,1.3470693230628967
